STATION,LATITUDE,LONGITUDE,trend
BR047997420,-14.87,-40.3,0.02609055469651762
BR037785360,-8.78,-40.83,-0.03218582523502432
BR047979180,-14.97,-41.42,-0.005251851531428597
BR047876420,-14.3,-41.27,0.0018848519232057197
BR001945039,-19.33,-45.23,-0.015483211931392257
BR038663880,-8.17,-36.57,0.010228893937992891
BR002344009,-23.15,-44.86,-0.16838777660695467
BR000347002,-3.45,-47.47,0.13368788189664405
BR008359000,3.36,-59.82,0.06602095011669248
BR003053020,-30.19,-53.56,0.25491547036321005
BR002048094,-20.46,-48.46,-0.22814274244422778
BR028715960,-3.78,-39.03,0.04027421760394941
BR057407150,-17.37,-44.93,-0.033852712784855084
BR027685970,-3.25,-40.52,-0.06632420091324201
BR002247183,-22.27,-47.9,0.21094036503553298
BR002045000,-20.88,-45.27,0.11934103107498921
BR002244148,-22.96,-44.03,-0.07323397582950571
BR002950059,-29.82,-50.74,0.11272015655577305
UY000086490,-33.25,-58.067,0.006452800517007866
BR048055950,-10.27,-37.03,-3.078015197700028E-4
BR048420530,-12.03,-38.75,-0.005345937020705028
COM00080112,6.165,-75.423,0.03357100708103855
BR027855410,-4.25,-42.3,0.0032097808523265862
BR002246023,-22.71,-46.78,-0.005549175711298132
BR038135320,-5.77,-38.35,-0.0011799214213731842
BR002244037,-22.3,-44.31,-0.025926785158999033
BR001339038,-13.37,-39.08,0.016658434943664143
BR000352000,-3.2,-52.2,0.02644110275689223
BR002042017,-20.28,-42.33,0.013860658700054656
BR002245081,-22.1,-45.017,0.028342245989304817
BR027680690,-3.03,-40.67,-0.012557610560071592
BR047972770,-14.61,-41.13,-0.04711981338098074
BR038970160,-9.53,-36.43,-0.07155257536804675
BR038697130,-8.38,-35.45,-0.002804957599478142
BR001656001,-16.43,-56.33,0.018372161464266727
BR036150060,-5.533,-47.5,0.004466264420157864
BR036764580,-8.72,-46.72,0.011661105004445406
BR002751018,-27.46,-51.9,-0.09669932255408338
UY000086562,-34.45,-57.85,5.38667610304708E-4
BR000835068,-8.11,-35.28,-9.30194466252917E-6
BR038265980,-6.27,-36.52,-0.0016391342159052618
BR000537019,-5.64,-37.26,0.0023216230633718448
BR038235690,-6.28,-38.17,0.004004420901529262
BR001140016,-11.183,-40.467,0.013367199553081681
BR002748001,-27.41,-48.95,0.0031375248766553105
BR047182110,-10.6,-40.95,-0.004384841316571457
BR002241004,-22.26,-41.98,0.014595098046894378
BR002141001,-21.48,-41.1,-0.00665066581011524
BR000445001,-4.03,-45.27,0.01447319748391815
BR001552000,-15.89,-52.23,-0.001007376185458373
BR001347000,-13.8,-47.46,-0.014562697576396201
BR008261000,2.87,-61.44,0.03253342190217634
BR001246001,-12.71,-46.41,0.011449223386601079
BR038540360,-7.53,-37.83,0.021936275457716793
BR001641010,-16.62,-41.77,0.009604338525234776
BR002648020,-26.56,-48.72,0.04661820185268191
BR038879240,-9.45,-36.38,-0.032354390766961276
BR038633580,-8.17,-38.22,0.02218097046302751
BR037909790,-9.98,-44.62,-0.10103987395057427
BR038086870,-5.32,-35.57,0.022012151270749583
BR037858350,-9.61,-42.52,-0.024126912835648516
BR036295590,-6.28,-45.22,-0.0022066732067086673
BR001942030,-19.32,-42.4,-0.10621464108031271
BR002853013,-28.35,-53.25,-0.12236611242293056
BR000967001,-9.05,-67.37,0.275365682137834
BR008251003,2.31,-51.64,0.4651787254701347
AR000087374,-31.783,-60.483,0.09842466412979232
ARM00087509,-34.588,-68.403,0.009090061768216876
BR028703860,-3.68,-39.58,-0.0074658497767384644
BR002346097,-23.19,-46.88,0.0015902407453863097
BR001740000,-17.7,-40.76,-5.94079445702063E-4
BR038328090,-6.93,-38.97,-2.904045850247649E-4
BR001640000,-16.14,-40.29,-7.088359624703572E-4
BR038065570,-5.25,-36.72,0.002302444265377384
BR002353001,-23.0,-53.18,-0.005994937228474669
BR037192180,-5.62,-40.42,6.056523126351147E-4
CO000080241,4.55,-70.917,0.13534892217756667
BR002048011,-20.45,-48.45,0.020842898683807773
BR038143420,-5.65,-37.8,0.012105223461865234
BR001944048,-19.99,-44.42,4.8969519682847724E-5
BR000848003,-8.4,-48.13,-0.00617415762966405
BR002749033,-27.39,-49.37,0.010948466411448358
VE000004296,7.57,-69.13,-0.006149659863945571
BR001851000,-18.91,-50.85,-0.014204677603197288
BR057314270,-16.7,-44.37,0.012388553350589589
BR038423430,-7.18,-38.8,0.009236286842004532
BR028821460,-4.08,-38.78,0.023752407641784285
BR038676420,-8.32,-36.3,0.009373643001570533
BR027973080,-4.67,-41.47,0.003418018352503163
BR048245740,-11.25,-37.63,0.0151783126506283
BR038870920,-9.02,-36.05,-0.0034041095890411156
BR038062750,-5.117,-36.633,-0.0058186406239758804
BR038839170,-9.44,-38.42,-0.005811442385173249
BR001656002,-16.32,-56.54,-0.0081348767793991
VE000004050,7.47,-72.43,0.01599903547430965
BR047625180,-13.27,-43.92,0.019467586565998434
BR002044052,-20.05,-44.41,-0.14565557792477551
BR038789160,-8.98,-35.93,0.15535924493675035
BR000544009,-5.41,-44.34,0.1113279734258334
BR057122270,-15.6,-43.87,0.30651661378459366
BR001047004,-10.75,-47.54,0.10639883047268395
BR001853001,-18.73,-53.68,0.09403265127846289
BR000152000,-1.733,-52.233,-0.0478713768115942
BR026994080,-4.72,-45.47,0.7490008654923124
BR000970001,-9.38,-70.47,-0.4620758886463469
BR038511460,-7.58,-39.28,-0.0033246716531724306
BR047590430,-12.53,-40.3,-0.006474313863476424
BR002143016,-21.87,-43.56,0.00692140041754643
BR002242013,-22.44,-42.77,-1.0534988741713741E-4
BR002453013,-24.63,-53.1,0.032180688268586846
UY000001374,-31.57,-55.47,0.008944662747067688
BR002245082,-22.63,-45.83,-0.0023228293173356376
UY000001768,-32.52,-57.16,0.022808212806669358
BR000837038,-8.92,-37.83,-0.0019936622002644892
BR038044380,-5.22,-37.82,0.00913619104061324
VE000005203,6.17,-69.27,0.04765729789000699
BR047459550,-12.47,-42.23,-0.09420474424064229
BR028718750,-3.92,-39.13,-0.03773349937733499
AR000000010,-30.68,-57.82,0.04769988280771719
BR037979270,-10.04,-41.42,-0.014994897979284614
BR057238510,-16.4,-43.25,-0.05490557480754471
BR047348180,-12.05,-42.8,-0.0023480241452311867
BR002649018,-26.15,-49.38,0.02036529680365297
BR001139022,-11.47,-39.78,-0.0328304407348525
BR001940019,-19.5,-40.9,0.20192684028300467
BR037771190,-8.58,-41.42,-3.382773874577226E-4
BR001164000,-11.07,-64.08,-0.07470538720538723
BR001446000,-14.56,-46.17,0.2223808098713138
BR002255002,-22.19,-55.94,-0.009052864286679665
UYM00086580,-34.838,-56.031,-0.019546035063276443
BR047077190,-10.38,-41.42,-9.634068470243278E-4
BR002041003,-20.75,-41.47,-0.0040066117039875395
BR038534670,-7.7,-38.17,-0.0012865408224040065
VEM00080428,9.027,-69.755,-0.002331961591220841
BR002449006,-24.8,-49.28,0.040136949907064845
BR048219650,-11.47,-39.18,0.002726530765012046
BR001943035,-19.22,-43.59,-0.046284416990047775
BR001144009,-11.02,-44.51,0.005196227208723956
BR001140000,-11.43,-40.6,-0.0031890215613019804
BR028827350,-4.37,-38.83,3.128678966528113E-4
BR002952010,-29.98,-52.35,0.018666246286802773
BR001245004,-12.13,-45.1,0.02334536538475123
BR002450056,-24.95,-50.38,0.01895372139937357
BR038357340,-6.85,-37.33,0.017121643990315818
BR002749020,-27.67,-49.01,-0.015471393512135721
BR038601460,-8.08,-39.78,-0.00740545934113534
BR001643018,-16.73,-43.87,-0.053985006071485146
